country_name,country_link
Ajman,https://zh-cn.ucoin.net/catalog/?country=ajman
Bahawalpur,https://zh-cn.ucoin.net/catalog/?country=bahawalpur
Baroda,https://zh-cn.ucoin.net/catalog/?country=baroda
Bikaner,https://zh-cn.ucoin.net/catalog/?country=bikaner
Bohemia,https://zh-cn.ucoin.net/catalog/?country=bohemia
British East Indies,https://zh-cn.ucoin.net/catalog/?country=british_east_indies
British West Indies,https://zh-cn.ucoin.net/catalog/?country=british_west_indies
Eswatini (Swaziland),https://zh-cn.ucoin.net/catalog/?country=swaziland
Fujairah,https://zh-cn.ucoin.net/catalog/?country=fujairah
Genoa,https://zh-cn.ucoin.net/catalog/?country=genoa
Hessen-Darmstadt,https://zh-cn.ucoin.net/catalog/?country=hessen_darmstadt
Hutt River,https://zh-cn.ucoin.net/catalog/?country=hutt_river
Indore,https://zh-cn.ucoin.net/catalog/?country=indore
Jaipur,https://zh-cn.ucoin.net/catalog/?country=jaipur
Jodhpur,https://zh-cn.ucoin.net/catalog/?country=jodhpur
Junagadh,https://zh-cn.ucoin.net/catalog/?country=junagadh
Korea,https://zh-cn.ucoin.net/catalog/?country=korea
Lucca,https://zh-cn.ucoin.net/catalog/?country=lucca
Madeira Islands,https://zh-cn.ucoin.net/catalog/?country=madeira_islands
Mewar,https://zh-cn.ucoin.net/catalog/?country=mewar
Naples,https://zh-cn.ucoin.net/catalog/?country=naples
Nassau-Usingen,https://zh-cn.ucoin.net/catalog/?country=nassau_usingen
Nassau-Weilburg,https://zh-cn.ucoin.net/catalog/?country=nassau_weilburg
Navarra,https://zh-cn.ucoin.net/catalog/?country=navarra
Ras Al Khaimah,https://zh-cn.ucoin.net/catalog/?country=ras_al_khaimah
Reuss-Gera,https://zh-cn.ucoin.net/catalog/?country=reuss_gera
Roman Republic,https://zh-cn.ucoin.net/catalog/?country=roman_republic
Saxe-Altenburg,https://zh-cn.ucoin.net/catalog/?country=saxe_altenburg
Saxe-Coburg and Gotha,https://zh-cn.ucoin.net/catalog/?country=saxe_coburg_gotha
Saxe-Weimar-Eisenach,https://zh-cn.ucoin.net/catalog/?country=saxe_weimar_eisenach
Schaumburg-Lippe,https://zh-cn.ucoin.net/catalog/?country=schaumburg_lippe
Schleswig-Holstein,https://zh-cn.ucoin.net/catalog/?country=schleswig_holstein
Tonk,https://zh-cn.ucoin.net/catalog/?country=tonk
Travancore,https://zh-cn.ucoin.net/catalog/?country=travancore
Umm Al Qaiwain,https://zh-cn.ucoin.net/catalog/?country=umm_al_qaiwain
Waldeck,https://zh-cn.ucoin.net/catalog/?country=waldeck
阿尔巴尼亚,https://zh-cn.ucoin.net/catalog/?country=albania
阿尔及利亚,https://zh-cn.ucoin.net/catalog/?country=algeria
阿富汗,https://zh-cn.ucoin.net/catalog/?country=afghanistan
阿根廷,https://zh-cn.ucoin.net/catalog/?country=argentina
阿根廷各省,https://zh-cn.ucoin.net/catalog/?country=argentine_provinces
阿联酋,https://zh-cn.ucoin.net/catalog/?country=united_arab_emirates
阿鲁巴,https://zh-cn.ucoin.net/catalog/?country=aruba
阿曼,https://zh-cn.ucoin.net/catalog/?country=oman
阿塞拜疆,https://zh-cn.ucoin.net/catalog/?country=azerbaijan
阿森松岛,https://zh-cn.ucoin.net/catalog/?country=ascension_island
埃及,https://zh-cn.ucoin.net/catalog/?country=egypt
埃塞俄比亚,https://zh-cn.ucoin.net/catalog/?country=ethiopia
爱奥尼亚群岛,https://zh-cn.ucoin.net/catalog/?country=ionian_islands
爱尔兰,https://zh-cn.ucoin.net/catalog/?country=ireland
爱沙尼亚,https://zh-cn.ucoin.net/catalog/?country=estonia
安道尔,https://zh-cn.ucoin.net/catalog/?country=andorra
安哥拉,https://zh-cn.ucoin.net/catalog/?country=angola
安圭拉,https://zh-cn.ucoin.net/catalog/?country=anguilla
安哈尔特-贝恩堡公国,https://zh-cn.ucoin.net/catalog/?country=anhalt_bernburg
安提瓜和巴布达,https://zh-cn.ucoin.net/catalog/?country=antigua_barbuda
奥地利,https://zh-cn.ucoin.net/catalog/?country=austria
奥尔德尼岛,https://zh-cn.ucoin.net/catalog/?country=alderney
奥尔登堡大公国,https://zh-cn.ucoin.net/catalog/?country=oldenburg
奥属尼德兰,https://zh-cn.ucoin.net/catalog/?country=austrian_netherlands
澳大利亚,https://zh-cn.ucoin.net/catalog/?country=australia
澳门,https://zh-cn.ucoin.net/catalog/?country=macau
巴巴多斯,https://zh-cn.ucoin.net/catalog/?country=barbados
巴布亚新几内亚,https://zh-cn.ucoin.net/catalog/?country=papua_new_guinea
巴登大公国,https://zh-cn.ucoin.net/catalog/?country=baden
巴伐利亚,https://zh-cn.ucoin.net/catalog/?country=bavaria
巴哈马,https://zh-cn.ucoin.net/catalog/?country=bahamas
巴基斯坦,https://zh-cn.ucoin.net/catalog/?country=pakistan
巴拉圭,https://zh-cn.ucoin.net/catalog/?country=paraguay
巴勒斯坦,https://zh-cn.ucoin.net/catalog/?country=palestine
巴林,https://zh-cn.ucoin.net/catalog/?country=bahrain
巴拿马,https://zh-cn.ucoin.net/catalog/?country=panama
巴西,https://zh-cn.ucoin.net/catalog/?country=brazil
白俄罗斯,https://zh-cn.ucoin.net/catalog/?country=belarus
百慕达,https://zh-cn.ucoin.net/catalog/?country=bermuda
保加利亚,https://zh-cn.ucoin.net/catalog/?country=bulgaria
北馬其頓,https://zh-cn.ucoin.net/catalog/?country=macedonia
北婆罗洲,https://zh-cn.ucoin.net/catalog/?country=north_borneo
贝宁,https://zh-cn.ucoin.net/catalog/?country=benin
比利时,https://zh-cn.ucoin.net/catalog/?country=belgium
比属刚果,https://zh-cn.ucoin.net/catalog/?country=belgian_congo
比亚法拉共和国,https://zh-cn.ucoin.net/catalog/?country=biafra
冰岛,https://zh-cn.ucoin.net/catalog/?country=iceland
波多黎各,https://zh-cn.ucoin.net/catalog/?country=puerto_rico
波兰,https://zh-cn.ucoin.net/catalog/?country=poland
波斯尼亚和黑塞哥维那,https://zh-cn.ucoin.net/catalog/?country=bosnia_herzegovina
波希米亚和摩拉维亚,https://zh-cn.ucoin.net/catalog/?country=bohemia_moravia
玻利维亚,https://zh-cn.ucoin.net/catalog/?country=bolivia
伯利兹,https://zh-cn.ucoin.net/catalog/?country=belize
博茨瓦纳,https://zh-cn.ucoin.net/catalog/?country=botswana
不丹,https://zh-cn.ucoin.net/catalog/?country=bhutan
不伦瑞克公国,https://zh-cn.ucoin.net/catalog/?country=brunswick
布基纳法索,https://zh-cn.ucoin.net/catalog/?country=burkina_faso
布隆迪,https://zh-cn.ucoin.net/catalog/?country=burundi
赤道非洲国家,https://zh-cn.ucoin.net/catalog/?country=equatorial_african_states
赤道几内亚,https://zh-cn.ucoin.net/catalog/?country=equatorial_guinea
崔斯坦达库尼亚,https://zh-cn.ucoin.net/catalog/?country=tristan_da_cunha
丹麦,https://zh-cn.ucoin.net/catalog/?country=denmark
丹属西印度群岛,https://zh-cn.ucoin.net/catalog/?country=danish_west_indies
但泽,https://zh-cn.ucoin.net/catalog/?country=danzig
德国,https://zh-cn.ucoin.net/catalog/?country=germany
德国 - 德意志帝国,https://zh-cn.ucoin.net/catalog/?country=german_empire
德国 - 德意志民主共和国,https://zh-cn.ucoin.net/catalog/?country=german_democratic_republic
德国 - 第三帝国,https://zh-cn.ucoin.net/catalog/?country=third_reich
德米拉和埃塞奎博,https://zh-cn.ucoin.net/catalog/?country=demerara_essequibo
德涅斯特,https://zh-cn.ucoin.net/catalog/?country=transnistria
德属东非,https://zh-cn.ucoin.net/catalog/?country=german_east_africa
德属新几内亚,https://zh-cn.ucoin.net/catalog/?country=german_new_guinea
德占胶州,https://zh-cn.ucoin.net/catalog/?country=kiau_chau
东帝汶,https://zh-cn.ucoin.net/catalog/?country=east_timor
东加勒比,https://zh-cn.ucoin.net/catalog/?country=eastern_caribbean
多哥,https://zh-cn.ucoin.net/catalog/?country=togo
多米尼加,https://zh-cn.ucoin.net/catalog/?country=dominican_republic
多米尼克,https://zh-cn.ucoin.net/catalog/?country=dominica
俄罗斯,https://zh-cn.ucoin.net/catalog/?country=russia
厄瓜多尔,https://zh-cn.ucoin.net/catalog/?country=ecuador
厄立特里亚,https://zh-cn.ucoin.net/catalog/?country=eritrea
鄂图曼帝国,https://zh-cn.ucoin.net/catalog/?country=ottoman_empire
法国,https://zh-cn.ucoin.net/catalog/?country=france
法国殖民地,https://zh-cn.ucoin.net/catalog/?country=french_colonies
法兰克福自由市,https://zh-cn.ucoin.net/catalog/?country=frankfurt
法罗群岛,https://zh-cn.ucoin.net/catalog/?country=faroes
法属阿法尔和伊萨,https://zh-cn.ucoin.net/catalog/?country=afars_issas
法属波利尼西亚,https://zh-cn.ucoin.net/catalog/?country=french_polinesia
法属赤道非洲,https://zh-cn.ucoin.net/catalog/?country=french_equatorial_africa
法属大洋洲,https://zh-cn.ucoin.net/catalog/?country=french_oceania
法属圭亚那,https://zh-cn.ucoin.net/catalog/?country=french_guiana
法属交趾支那,https://zh-cn.ucoin.net/catalog/?country=french_cochinchina
法属索马里兰,https://zh-cn.ucoin.net/catalog/?country=french_somaliland
法属西非,https://zh-cn.ucoin.net/catalog/?country=french_west_africa
法属印度支那,https://zh-cn.ucoin.net/catalog/?country=french_indochina
梵蒂冈,https://zh-cn.ucoin.net/catalog/?country=vatican_city
菲律宾,https://zh-cn.ucoin.net/catalog/?country=philippines
斐济,https://zh-cn.ucoin.net/catalog/?country=fiji
芬兰,https://zh-cn.ucoin.net/catalog/?country=finland
佛得角,https://zh-cn.ucoin.net/catalog/?country=cape_verde
福克兰群岛,https://zh-cn.ucoin.net/catalog/?country=falkland_islands
符腾堡王国,https://zh-cn.ucoin.net/catalog/?country=wurttemberg
冈比亚,https://zh-cn.ucoin.net/catalog/?country=gambia
刚果（布）,https://zh-cn.ucoin.net/catalog/?country=west_congo
刚果（金）,https://zh-cn.ucoin.net/catalog/?country=congo_democratic_republic
刚果自由邦,https://zh-cn.ucoin.net/catalog/?country=congo_free_state
哥伦比亚,https://zh-cn.ucoin.net/catalog/?country=colombia
哥斯达黎加,https://zh-cn.ucoin.net/catalog/?country=costa_rica
戈里奇亚和格拉迪斯,https://zh-cn.ucoin.net/catalog/?country=gorizia_gradisca
格林纳达,https://zh-cn.ucoin.net/catalog/?country=grenada
格陵兰,https://zh-cn.ucoin.net/catalog/?country=greenland
格鲁吉亚,https://zh-cn.ucoin.net/catalog/?country=georgia
根西岛,https://zh-cn.ucoin.net/catalog/?country=guernsey
古巴,https://zh-cn.ucoin.net/catalog/?country=cuba
古拉索,https://zh-cn.ucoin.net/catalog/?country=curacao
瓜德罗普,https://zh-cn.ucoin.net/catalog/?country=guadeloupe
瓜廖尔,https://zh-cn.ucoin.net/catalog/?country=gwalior
圭亚那,https://zh-cn.ucoin.net/catalog/?country=guyana
哈萨克斯坦,https://zh-cn.ucoin.net/catalog/?country=kazakhstan
海得拉巴,https://zh-cn.ucoin.net/catalog/?country=hyderabad
海地,https://zh-cn.ucoin.net/catalog/?country=haiti
海峡殖民地,https://zh-cn.ucoin.net/catalog/?country=straits_settlements
韩国,https://zh-cn.ucoin.net/catalog/?country=south_korea
汉堡,https://zh-cn.ucoin.net/catalog/?country=hamburg
汉诺威王国,https://zh-cn.ucoin.net/catalog/?country=hannover
汉志,https://zh-cn.ucoin.net/catalog/?country=hejaz
荷兰,https://zh-cn.ucoin.net/catalog/?country=netherlands
荷兰共和国,https://zh-cn.ucoin.net/catalog/?country=dutch_republic
荷兰加勒比区,https://zh-cn.ucoin.net/catalog/?country=caribbean_netherlands
荷属安的列斯,https://zh-cn.ucoin.net/catalog/?country=netherlands_antilles
荷属东印度,https://zh-cn.ucoin.net/catalog/?country=netherlands_east_indies
黑森选侯国,https://zh-cn.ucoin.net/catalog/?country=hesse_kassel
黑山,https://zh-cn.ucoin.net/catalog/?country=montenegro
洪都拉斯,https://zh-cn.ucoin.net/catalog/?country=honduras
基里巴斯,https://zh-cn.ucoin.net/catalog/?country=kiribati
吉布提,https://zh-cn.ucoin.net/catalog/?country=djibouti
吉尔吉斯斯坦,https://zh-cn.ucoin.net/catalog/?country=kyrgyzstan
几内亚,https://zh-cn.ucoin.net/catalog/?country=guinea
几内亚比绍,https://zh-cn.ucoin.net/catalog/?country=guinea_bissau
加拿大,https://zh-cn.ucoin.net/catalog/?country=canada
加拿大行省,https://zh-cn.ucoin.net/catalog/?country=canadian_provinces
加纳,https://zh-cn.ucoin.net/catalog/?country=ghana
加蓬,https://zh-cn.ucoin.net/catalog/?country=gabon
柬埔寨,https://zh-cn.ucoin.net/catalog/?country=cambodia
教皇国,https://zh-cn.ucoin.net/catalog/?country=papal_states
捷克,https://zh-cn.ucoin.net/catalog/?country=czech_republic
捷克斯洛伐克,https://zh-cn.ucoin.net/catalog/?country=czechoslovakia
津巴布韦,https://zh-cn.ucoin.net/catalog/?country=zimbabwe
喀麦隆,https://zh-cn.ucoin.net/catalog/?country=cameroon
卡达与杜拜,https://zh-cn.ucoin.net/catalog/?country=qatar_dubai
卡奇,https://zh-cn.ucoin.net/catalog/?country=kutch
卡塔尔,https://zh-cn.ucoin.net/catalog/?country=qatar
卡坦加国,https://zh-cn.ucoin.net/catalog/?country=katanga
开曼群岛,https://zh-cn.ucoin.net/catalog/?country=cayman_islands
科摩罗,https://zh-cn.ucoin.net/catalog/?country=comoros
科特迪瓦,https://zh-cn.ucoin.net/catalog/?country=cote_d_ivoire
科威特,https://zh-cn.ucoin.net/catalog/?country=kuwait
克拉科夫,https://zh-cn.ucoin.net/catalog/?country=krakow
克里特,https://zh-cn.ucoin.net/catalog/?country=crete
克罗地亚,https://zh-cn.ucoin.net/catalog/?country=croatia
肯尼亚,https://zh-cn.ucoin.net/catalog/?country=kenya
库克群岛,https://zh-cn.ucoin.net/catalog/?country=cook_islands
拉脱维亚,https://zh-cn.ucoin.net/catalog/?country=latvia
莱索托,https://zh-cn.ucoin.net/catalog/?country=lesotho
老挝,https://zh-cn.ucoin.net/catalog/?country=laos
黎巴嫩,https://zh-cn.ucoin.net/catalog/?country=lebanon
利比里亚,https://zh-cn.ucoin.net/catalog/?country=liberia
利比亚,https://zh-cn.ucoin.net/catalog/?country=libya
利珀亲王国,https://zh-cn.ucoin.net/catalog/?country=lippe
立陶宛,https://zh-cn.ucoin.net/catalog/?country=lithuania
两西西里王国,https://zh-cn.ucoin.net/catalog/?country=two_sicilies
列支敦士登,https://zh-cn.ucoin.net/catalog/?country=liechtenstein
留尼旺,https://zh-cn.ucoin.net/catalog/?country=reunion
卢森堡,https://zh-cn.ucoin.net/catalog/?country=luxembourg
卢旺达,https://zh-cn.ucoin.net/catalog/?country=rwanda
卢旺达-乌隆地,https://zh-cn.ucoin.net/catalog/?country=ruanda_urundi
卢旺达-乌隆地,https://zh-cn.ucoin.net/catalog/?country=ruanda_burundi
伦巴第-威尼西亚王国,https://zh-cn.ucoin.net/catalog/?country=lombardy_venetia
罗德西亚,https://zh-cn.ucoin.net/catalog/?country=rhodesia
罗德西亚与尼亚萨兰联邦,https://zh-cn.ucoin.net/catalog/?country=rhodesia_nyasaland
罗马尼亚,https://zh-cn.ucoin.net/catalog/?country=romania
罗马尼亚联合公国,https://zh-cn.ucoin.net/catalog/?country=moldavia_and_wallachia
罗伊斯-格赖茨亲王国,https://zh-cn.ucoin.net/catalog/?country=reuss_greiz
马达加斯加,https://zh-cn.ucoin.net/catalog/?country=madagascar
马丁尼克,https://zh-cn.ucoin.net/catalog/?country=martinique
马恩岛,https://zh-cn.ucoin.net/catalog/?country=isle_of_man
马尔代夫,https://zh-cn.ucoin.net/catalog/?country=maldives
马尔他,https://zh-cn.ucoin.net/catalog/?country=malta
马尔他骑士团,https://zh-cn.ucoin.net/catalog/?country=order_of_malta
马拉维,https://zh-cn.ucoin.net/catalog/?country=malawi
马来西亚,https://zh-cn.ucoin.net/catalog/?country=malaysia
马来亚和英属婆罗洲,https://zh-cn.ucoin.net/catalog/?country=malaya_british_borneo
马里,https://zh-cn.ucoin.net/catalog/?country=mali
马绍尔群岛,https://zh-cn.ucoin.net/catalog/?country=marshall_islands
毛里求斯,https://zh-cn.ucoin.net/catalog/?country=mauritius
毛里塔尼亚,https://zh-cn.ucoin.net/catalog/?country=mauritania
梅克伦堡-施特雷利茨大公国,https://zh-cn.ucoin.net/catalog/?country=mecklenburg_strelitz
梅克伦堡-什未林大公国,https://zh-cn.ucoin.net/catalog/?country=mecklenburg_schwerin
美国,https://zh-cn.ucoin.net/catalog/?country=usa
美属萨摩亚,https://zh-cn.ucoin.net/catalog/?country=american_samoa
蒙巴萨,https://zh-cn.ucoin.net/catalog/?country=mombasa
蒙古,https://zh-cn.ucoin.net/catalog/?country=mongolia
蒙特塞拉特,https://zh-cn.ucoin.net/catalog/?country=montserrat
孟加拉国,https://zh-cn.ucoin.net/catalog/?country=bangladesh
米兰,https://zh-cn.ucoin.net/catalog/?country=milan
秘鲁,https://zh-cn.ucoin.net/catalog/?country=peru
缅甸,https://zh-cn.ucoin.net/catalog/?country=myanmar
摩尔多瓦,https://zh-cn.ucoin.net/catalog/?country=moldova
摩洛哥,https://zh-cn.ucoin.net/catalog/?country=morocco
摩纳哥,https://zh-cn.ucoin.net/catalog/?country=monaco
墨西哥,https://zh-cn.ucoin.net/catalog/?country=mexico
莫桑比克,https://zh-cn.ucoin.net/catalog/?country=mozambique
拿骚,https://zh-cn.ucoin.net/catalog/?country=nassau
纳戈尔诺-卡拉巴赫,https://zh-cn.ucoin.net/catalog/?country=nagorno_karabakh
纳米比亚,https://zh-cn.ucoin.net/catalog/?country=namibia
南阿拉伯,https://zh-cn.ucoin.net/catalog/?country=south_arabia
南非,https://zh-cn.ucoin.net/catalog/?country=south_africa
南非共和国,https://zh-cn.ucoin.net/catalog/?country=zar
南罗德西亚,https://zh-cn.ucoin.net/catalog/?country=southern_rhodesia
南乔治亚岛,https://zh-cn.ucoin.net/catalog/?country=south_georgia
南斯拉夫,https://zh-cn.ucoin.net/catalog/?country=yugoslavia
南苏丹,https://zh-cn.ucoin.net/catalog/?country=south_sudan
南也门,https://zh-cn.ucoin.net/catalog/?country=south_yemen
南越,https://zh-cn.ucoin.net/catalog/?country=south_vietnam
瑙鲁,https://zh-cn.ucoin.net/catalog/?country=nauru
尼泊尔,https://zh-cn.ucoin.net/catalog/?country=nepal
尼加拉瓜,https://zh-cn.ucoin.net/catalog/?country=nicaragua
尼日尔,https://zh-cn.ucoin.net/catalog/?country=niger
尼日利亚,https://zh-cn.ucoin.net/catalog/?country=nigeria
纽埃岛,https://zh-cn.ucoin.net/catalog/?country=niue
纽芬兰,https://zh-cn.ucoin.net/catalog/?country=newfoundland
挪威,https://zh-cn.ucoin.net/catalog/?country=norway
欧盟,https://zh-cn.ucoin.net/catalog/?country=eu
帕尔马公国,https://zh-cn.ucoin.net/catalog/?country=parma
帕劳,https://zh-cn.ucoin.net/catalog/?country=palau
皮特凯恩群岛,https://zh-cn.ucoin.net/catalog/?country=pitcairn_islands
葡属帝汶,https://zh-cn.ucoin.net/catalog/?country=portuguese_timor
葡属印度,https://zh-cn.ucoin.net/catalog/?country=portuguese_india
葡萄牙,https://zh-cn.ucoin.net/catalog/?country=portugal
普鲁士,https://zh-cn.ucoin.net/catalog/?country=prussia
日本,https://zh-cn.ucoin.net/catalog/?country=japan
日占中国傀儡政权,https://zh-cn.ucoin.net/catalog/?country=japanese_china
瑞典,https://zh-cn.ucoin.net/catalog/?country=sweden
瑞士,https://zh-cn.ucoin.net/catalog/?country=switzerland
瑞士诸州,https://zh-cn.ucoin.net/catalog/?country=swiss_cantons
萨丁尼亚岛,https://zh-cn.ucoin.net/catalog/?country=sardinia
萨尔,https://zh-cn.ucoin.net/catalog/?country=saar
萨尔瓦多,https://zh-cn.ucoin.net/catalog/?country=el_salvador
萨克森-迈宁根,https://zh-cn.ucoin.net/catalog/?country=saxe_meiningen
萨克森自由州,https://zh-cn.ucoin.net/catalog/?country=saxony
萨摩亚,https://zh-cn.ucoin.net/catalog/?country=samoa
塞尔维亚,https://zh-cn.ucoin.net/catalog/?country=serbia
塞拉利昂,https://zh-cn.ucoin.net/catalog/?country=sierra_leone
塞内加尔,https://zh-cn.ucoin.net/catalog/?country=senegal
塞浦路斯,https://zh-cn.ucoin.net/catalog/?country=cyprus
塞舌尔,https://zh-cn.ucoin.net/catalog/?country=seychelles
桑给巴尔,https://zh-cn.ucoin.net/catalog/?country=zanzibar
沙特阿拉伯,https://zh-cn.ucoin.net/catalog/?country=saudi_arabia
砂拉越,https://zh-cn.ucoin.net/catalog/?country=sarawak
圣多美和普林西比,https://zh-cn.ucoin.net/catalog/?country=sao_tome_principe
圣赫勒拿岛,https://zh-cn.ucoin.net/catalog/?country=saint_helena
圣赫勒拿与亚森欣,https://zh-cn.ucoin.net/catalog/?country=saint_helena_ascension
圣基茨和尼维斯,https://zh-cn.ucoin.net/catalog/?country=saint_kitts_nevis
圣卢西亚,https://zh-cn.ucoin.net/catalog/?country=saint_lucia
圣马利诺,https://zh-cn.ucoin.net/catalog/?country=san_marino
圣皮埃尔与密克隆群岛,https://zh-cn.ucoin.net/catalog/?country=saint_pierre_miquelon
圣文森及格瑞那丁,https://zh-cn.ucoin.net/catalog/?country=saint_vincent_grenadines
斯里兰卡,https://zh-cn.ucoin.net/catalog/?country=sri_lanka
斯洛伐克,https://zh-cn.ucoin.net/catalog/?country=slovakia
斯洛文尼亚,https://zh-cn.ucoin.net/catalog/?country=slovenia
斯匹兹卑尔根岛,https://zh-cn.ucoin.net/catalog/?country=spitsbergen
苏丹,https://zh-cn.ucoin.net/catalog/?country=sudan
苏格兰,https://zh-cn.ucoin.net/catalog/?country=scotland
苏里南,https://zh-cn.ucoin.net/catalog/?country=suriname
苏联,https://zh-cn.ucoin.net/catalog/?country=ussr
所罗门群岛,https://zh-cn.ucoin.net/catalog/?country=solomon_islands
索马里,https://zh-cn.ucoin.net/catalog/?country=somalia
索马利兰,https://zh-cn.ucoin.net/catalog/?country=somaliland
塔吉克斯坦,https://zh-cn.ucoin.net/catalog/?country=tajikistan
台湾,https://zh-cn.ucoin.net/catalog/?country=taiwan
泰国,https://zh-cn.ucoin.net/catalog/?country=thailand
坦桑尼亚,https://zh-cn.ucoin.net/catalog/?country=tanzania
汤加,https://zh-cn.ucoin.net/catalog/?country=tonga
唐努乌梁海,https://zh-cn.ucoin.net/catalog/?country=tannu_tuva
特克斯和凯科斯群岛,https://zh-cn.ucoin.net/catalog/?country=turks_caicos_islands
特立尼达与多巴哥,https://zh-cn.ucoin.net/catalog/?country=trinidad_tobago
突尼斯,https://zh-cn.ucoin.net/catalog/?country=tunisia
图博,https://zh-cn.ucoin.net/catalog/?country=tibet
图瓦卢,https://zh-cn.ucoin.net/catalog/?country=tuvalu
土耳其,https://zh-cn.ucoin.net/catalog/?country=turkey
土库曼斯坦,https://zh-cn.ucoin.net/catalog/?country=turkmenistan
托克劳,https://zh-cn.ucoin.net/catalog/?country=tokelau
托斯卡尼,https://zh-cn.ucoin.net/catalog/?country=tuscany
瓦努阿图,https://zh-cn.ucoin.net/catalog/?country=vanuatu
危地马拉,https://zh-cn.ucoin.net/catalog/?country=guatemala
威尼斯,https://zh-cn.ucoin.net/catalog/?country=venice
威斯特法伦王国,https://zh-cn.ucoin.net/catalog/?country=westphalia
委内瑞拉,https://zh-cn.ucoin.net/catalog/?country=venezuela
文莱,https://zh-cn.ucoin.net/catalog/?country=brunei
乌兹别克斯坦,https://zh-cn.ucoin.net/catalog/?country=uzbekistan
乌干达,https://zh-cn.ucoin.net/catalog/?country=uganda
乌克兰,https://zh-cn.ucoin.net/catalog/?country=ukraine
乌拉圭,https://zh-cn.ucoin.net/catalog/?country=uruguay
希腊,https://zh-cn.ucoin.net/catalog/?country=greece
西班牙,https://zh-cn.ucoin.net/catalog/?country=spain
西班牙各省,https://zh-cn.ucoin.net/catalog/?country=spainish_provinces
西班牙 - 内战时期,https://zh-cn.ucoin.net/catalog/?country=span_civil_war
西非国家经济共同体,https://zh-cn.ucoin.net/catalog/?country=western_africa
西撒哈拉,https://zh-cn.ucoin.net/catalog/?country=western_sahara
锡兰,https://zh-cn.ucoin.net/catalog/?country=ceylon
夏尔迦酋长国,https://zh-cn.ucoin.net/catalog/?country=sharjah
夏威夷王国,https://zh-cn.ucoin.net/catalog/?country=hawaii
香港,https://zh-cn.ucoin.net/catalog/?country=hong_kong
新赫布里底群岛共管地,https://zh-cn.ucoin.net/catalog/?country=new_hebrides
新几内亚,https://zh-cn.ucoin.net/catalog/?country=new_guinea
新加坡,https://zh-cn.ucoin.net/catalog/?country=singapore
新喀里多尼亚,https://zh-cn.ucoin.net/catalog/?country=new_caledonia
新西兰,https://zh-cn.ucoin.net/catalog/?country=new_zealand
匈牙利,https://zh-cn.ucoin.net/catalog/?country=hungary
叙利亚,https://zh-cn.ucoin.net/catalog/?country=syria
牙买加,https://zh-cn.ucoin.net/catalog/?country=jamaica
亚美尼亚,https://zh-cn.ucoin.net/catalog/?country=armenia
亚速尔,https://zh-cn.ucoin.net/catalog/?country=azores
也门,https://zh-cn.ucoin.net/catalog/?country=yemen
伊拉克,https://zh-cn.ucoin.net/catalog/?country=iraq
伊朗,https://zh-cn.ucoin.net/catalog/?country=iran
以色列,https://zh-cn.ucoin.net/catalog/?country=israel
意大利,https://zh-cn.ucoin.net/catalog/?country=italy
意属厄立特里亚,https://zh-cn.ucoin.net/catalog/?country=italian_eritrea
意属索马利兰,https://zh-cn.ucoin.net/catalog/?country=italian_somaliland
印度,https://zh-cn.ucoin.net/catalog/?country=india
印尼,https://zh-cn.ucoin.net/catalog/?country=indonesia
英格兰,https://zh-cn.ucoin.net/catalog/?country=england
英国,https://zh-cn.ucoin.net/catalog/?country=united_kingdom
英属东非,https://zh-cn.ucoin.net/catalog/?country=british_east_africa
英属圭亚那,https://zh-cn.ucoin.net/catalog/?country=british_guiana
英属洪都拉斯,https://zh-cn.ucoin.net/catalog/?country=british_honduras
英属马来亚,https://zh-cn.ucoin.net/catalog/?country=malaya
英属南极领地,https://zh-cn.ucoin.net/catalog/?country=british_antarctic_territory
英属维尔京群岛,https://zh-cn.ucoin.net/catalog/?country=virgin_islands_british
英属西非,https://zh-cn.ucoin.net/catalog/?country=british_west_africa
英属印度,https://zh-cn.ucoin.net/catalog/?country=british_india
英属印度洋领地,https://zh-cn.ucoin.net/catalog/?country=biot
约旦,https://zh-cn.ucoin.net/catalog/?country=jordan
越南,https://zh-cn.ucoin.net/catalog/?country=vietnam
赞比亚,https://zh-cn.ucoin.net/catalog/?country=zambia
泽西岛,https://zh-cn.ucoin.net/catalog/?country=jersey
扎伊尔,https://zh-cn.ucoin.net/catalog/?country=zaire
乍得,https://zh-cn.ucoin.net/catalog/?country=chad
朝鲜,https://zh-cn.ucoin.net/catalog/?country=north_korea
直布罗陀,https://zh-cn.ucoin.net/catalog/?country=gibraltar
智利,https://zh-cn.ucoin.net/catalog/?country=chile
中非共和国,https://zh-cn.ucoin.net/catalog/?country=central_african_republic
中非国家经济共同体,https://zh-cn.ucoin.net/catalog/?country=central_africa
中国,https://zh-cn.ucoin.net/catalog/?country=china
中国 - 清朝,https://zh-cn.ucoin.net/catalog/?country=china_empire
中国 - 中华民国,https://zh-cn.ucoin.net/catalog/?country=china_republic
中美洲联邦共和国,https://zh-cn.ucoin.net/catalog/?country=central_american_republic
